zone_id,zone_name,state,interconnect,time_zone
1,AL,Alabama,Eastern,ETC/GMT+6
2,AR,Arkansas,Eastern,ETC/GMT+6
3,AZ,Arizona,Western,ETC/GMT+7
4,CA,California,Western,ETC/GMT+8
5,CO,Colorado,Western,ETC/GMT+7
6,CT,Connecticut,Eastern,ETC/GMT+5
7,DE,Delaware,Eastern,ETC/GMT+5
8,FL,Florida,Eastern,ETC/GMT+6
9,GA,Georgia,Eastern,ETC/GMT+5
10,IA,Iowa,Eastern,ETC/GMT+6
11,ID,Idaho,Western,ETC/GMT+7
12,IL,Illinois,Eastern,ETC/GMT+6
13,IN,Indiana,Eastern,ETC/GMT+5
14,KS,Kansas,Eastern,ETC/GMT+6
15,KY,Kentucky,Eastern,ETC/GMT+5
16,LA,Louisiana,Eastern,ETC/GMT+6
17,MA,Massachusetts,Eastern,ETC/GMT+5
18,MD,Maryland,Eastern,ETC/GMT+5
19,ME,Maine,Eastern,ETC/GMT+5
20,MI,Michigan,Eastern,ETC/GMT+5
21,MN,Minnesota,Eastern,ETC/GMT+6
22,MO,Missouri,Eastern,ETC/GMT+6
23,MS,Mississippi,Eastern,ETC/GMT+6
24,MT,Montana,Eastern,ETC/GMT+7
25,MT,Montana,Western,ETC/GMT+7
26,NC,North Carolina,Eastern,ETC/GMT+5
27,ND,North Dakota,Eastern,ETC/GMT+6
28,NE,Nebraska,Eastern,ETC/GMT+6
29,NH,New Hampshire,Eastern,ETC/GMT+5
30,NJ,New Jersey,Eastern,ETC/GMT+5
31,NM,New Mexico,Western,ETC/GMT+7
32,NV,Nevada,Western,ETC/GMT+8
33,NY,New York,Eastern,ETC/GMT+5
34,OH,Ohio,Eastern,ETC/GMT+5
35,OK,Oklahoma,Eastern,ETC/GMT+6
36,OR,Oregon,Western,ETC/GMT+8
37,PA,Pennsylvania,Eastern,ETC/GMT+5
38,RI,Rhode Island,Eastern,ETC/GMT+5
39,SC,South Carolina,Eastern,ETC/GMT+5
40,SD,South Dakota,Western,ETC/GMT+6
41,SD,South Dakota,Eastern,ETC/GMT+6
42,TN,Tennessee,Eastern,ETC/GMT+6
43,TX,Texas,Texas,ETC/GMT+6
44,TX,Texas,Eastern,ETC/GMT+6
45,TX,Texas,Western,ETC/GMT+7
46,UT,Utah,Western,ETC/GMT+7
47,VA,Virginia,Eastern,ETC/GMT+5
48,VT,Vermont,Eastern,ETC/GMT+5
49,WA,Washington,Western,ETC/GMT+8
50,WI,Wisconsin,Eastern,ETC/GMT+6
51,WV,West Virginia,Eastern,ETC/GMT+5
52,WY,Wyoming,Western,ETC/GMT+7
