,0
pop,2973816.0
res_area_m2,229319997.6513369
com_area_m2,80221078.92365147
ind_area_m2_gbs,8459051.872268043
frac_elec_res_heat,0.584320063311164
frac_elec_res_cool,0.9995058553325297
frac_elec_com_heat,0.41550986690428854
frac_elec_dhw_res,0.7289065387820314
frac_elec_dhw_com,0.5000107390874393
frac_elec_other_res,0.7762630526211353
frac_elec_cook_com,0.22573754920642708
hdd65,2186.342698405012
cdd65,2533.8320619029555
mrae_avg_%,0.0451651131837973
mrae_max_%,0.22980888460210297
rss_avg_%,0.054376664344235694
avg_profile_load_mw,1472.8215768574107
avg_actual_load_mw,1485.1095540294564
max_profile_load_mw,2526.6300264299803
max_actual_load_mw,2554.015379
