state,id,pop.2010,h.units.2010,res.area.m2,com.area.m2,hdd65,cdd65
NH,33001965100,3261,1878,252396.00064977602,54567.6224374917,8246,239
NH,33001965200,2920,2653,325736.73425199,48018.7014217083,7129,530
NH,33001965300,3321,2075,276104.200627346,134840.309484261,7129,530
NH,33001965400,2966,1612,220068.528997855,29317.969875530096,7626,395
NH,33001965598,3567,1845,218648.60084736897,176817.98979072,7626,395
NH,33001965600,3777,2118,288667.386895607,23383.9740387713,7129,530
NH,33001965700,4593,2319,312301.19203905103,35234.8710865556,7553,350
NH,33001965800,7356,3615,448378.21547620103,100861.02272596401,7129,530
NH,33001965900,3855,1847,204119.585736167,63970.803568846604,7129,530
NH,33001966000,5076,2333,264709.46330496896,143519.031603221,7129,530
NH,33001966100,4115,2658,334576.374303462,68779.4644844604,7129,530
NH,33001966200,2905,3041,328785.334091604,82244.6461144562,7129,530
NH,33001966401,1108,2164,268219.06139874,48247.24281649559,7129,530
NH,33001966402,6018,2947,385804.86655976897,85977.1188167217,7129,530
NH,33001966500,5250,4281,531118.426129333,47502.903961021395,7553,350
NH,33003955100,3765,5280,591818.001168134,77526.8438879376,7988,310
NH,33003955300,6032,4582,489319.55929451104,238141.145420602,7988,310
NH,33003955400,4420,2609,317951.45070950396,73793.440928023,7904,321
NH,33003955500,2895,2168,265984.83284155396,35674.1168092495,7977,255
NH,33003955600,4917,3586,466021.920856281,112054.53646916301,8308,221
NH,33003955800,2954,2543,280524.901595475,32094.0986097131,7977,255
NH,33003955900,4345,3057,345855.07638756104,102804.08707064,7977,255
NH,33003956000,5790,4170,497463.44490637205,54417.9567205141,7553,350
NH,33003956100,6269,4443,536984.308068668,155439.605511083,7553,350
NH,33003956300,4044,4940,677617.014572809,61242.333738365,7977,255
NH,33003956400,2387,2435,321549.683220793,17363.6712806396,7977,255
NH,33005970100,4224,2101,278349.595788985,42181.8821443509,7652,334
NH,33005970200,3734,1715,214108.995530314,53704.73956960929,7364,381
NH,33005970400,5425,3394,433299.607032188,87431.8861367554,7398,396
NH,33005970500,5457,2547,319709.934466543,83148.3140737231,7473,328
NH,33005970600,6014,2224,295040.086364892,113900.334294566,7473,328
NH,33005970700,3551,1749,228319.80096702,38253.9416921184,7221,473
NH,33005970800,4208,1878,224893.91578102397,47334.09900634809,7360,426
NH,33005970900,7230,3205,380682.27592073794,99858.7846208184,7360,426
NH,33005971000,5602,2482,296434.372478302,93137.7131273496,7652,334
NH,33005971100,5161,2523,279053.787712418,123412.95597720699,7360,426
NH,33005971300,3321,1702,177010.48582048801,103932.583470159,7360,426
NH,33005971401,5364,1229,141194.69424984,269873.57447443,7360,426
NH,33005971402,3961,1783,215962.68041318198,103772.046647285,7360,426
NH,33005971500,5478,2482,347068.009770928,115716.774315253,7360,426
NH,33005971600,4046,1827,189641.211292612,36653.8721037221,6709,607
NH,33005971700,4341,1932,209739.48162234,46115.397163601905,6709,607
NH,33007950100,2138,3111,346159.328313972,37390.6870002571,9978,108
NH,33007950200,3058,1947,207830.51347094198,114465.186816988,9299,162
NH,33007950300,2009,1938,232940.058351623,20146.396079566002,9094,148
NH,33007950400,3594,2213,245203.07835735302,40597.7917487702,9112,144
NH,33007950500,3507,1689,195796.316779848,105107.154623257,8768,214
NH,33007950600,4328,1918,203893.555067403,90358.05358618949,8416,247
NH,33007950700,3206,1580,184545.943950471,36774.4598250752,8416,247
